horizon,theta,se,ci_low,ci_high,p_value,n_obs
0.0,2.4669179681926887,1.593819807394508,-0.6569114521471127,5.59074738853249,0.12166990190384688,317.0
1.0,3.21007386804128,1.664668986034048,-0.05261739076626437,6.472765126848825,0.053810902491626456,316.0
2.0,3.280837575043697,1.7162134389945445,-0.08287895516923927,6.644554105256633,0.055918248152219345,315.0
3.0,1.8741092900581595,1.4992067754310392,-1.0642819951651061,4.812500575281425,0.21127498228020303,314.0
4.0,0.33092894979180076,1.4499707532006147,-2.510961505117819,3.172819404701421,0.8194663010263346,313.0
5.0,-1.036886111633116,1.496327700203754,-3.9696345131021213,1.8958622898358892,0.48833848412434,312.0
6.0,-2.6427650339232445,2.2286235434124455,-7.0107869141096755,1.7252568462631865,0.2356900835811786,311.0
7.0,-4.777161881871324,3.38023520183133,-11.402301136735211,1.8479773729925641,0.1575783618229617,310.0
8.0,-4.920638318922479,3.3189090016828904,-11.42558043018673,1.584303792341772,0.13817880813200434,309.0
9.0,-7.177203501870937,4.696267316326289,-16.381718303643037,2.0273112999011635,0.12644345153197367,308.0
10.0,-4.908476247869774,3.271476974020711,-11.320453293202446,1.5035007974628982,0.13351460242437022,307.0
11.0,-5.946008194492542,3.7918299846527352,-13.37785839991097,1.485842010925885,0.11685535996294551,306.0
12.0,-6.616099965206674,3.9926019241699273,-14.441455941185051,1.2092560107717034,0.09750131893820145,305.0
13.0,-5.799375577930132,3.597909234606381,-12.85114809740271,1.2523969415424467,0.10698940770916282,304.0
14.0,-5.6919804265015514,3.4113006106511423,-12.378006763817284,0.9940459108141813,0.0952034094383292,303.0
15.0,-3.4067862465791845,3.822772443926341,-10.899282557766977,4.085710064608607,0.3728315036589416,302.0
16.0,-4.929915079443289,3.4956664641111788,-11.781295451065677,1.9214652921790991,0.15845308879940256,301.0
17.0,-6.795406066329261,3.796241008773485,-14.235901720159294,0.6450895875007729,0.0734482090766334,300.0
18.0,-5.101449933732368,3.718443379694855,-12.389465036485682,2.1865651690209447,0.17008473553833947,299.0
19.0,-6.34583078162463,3.8357225701460416,-13.863708873798283,1.1720473105490221,0.09804566504214686,298.0
20.0,-5.050612663441235,3.841053873419833,-12.57893991802218,2.4777145911397085,0.18854255670646403,297.0
21.0,-4.732744343664289,4.18241950590731,-12.930135943480426,3.4646472561518467,0.25781084329069004,296.0
22.0,-6.069730433422536,3.908805655987078,-13.730848741723669,1.5913878748785972,0.12046254634076294,295.0
23.0,-5.6512491342969335,4.146258083470573,-13.777765648507327,2.4752673799134586,0.17289015995184798,294.0
24.0,-6.502782173403896,4.138955393600155,-14.614985678478003,1.6094213316702115,0.11615553107500011,293.0
