shock,exposure,lags,sample,horizon,beta,se,p_value,p_value_bh
brw,duration,3,ex_covid,12,0.013972928112098376,0.030051555877192875,0.64195636777501,0.6786195123815658
brw,duration,3,full,12,0.015196080774996951,0.02941845026494361,0.6054707946625577,0.6786195123815658
brw,duration,6,ex_covid,12,0.016971564190156857,0.031075208034324963,0.5849663864620629,0.6786195123815658
brw,duration,6,full,12,0.018102158823346034,0.030447783922828077,0.5521568520783784,0.6786195123815658
brw,duration,12,ex_covid,12,0.021454220142346003,0.032911250665652786,0.5144779202934093,0.6786195123815658
brw,duration,12,full,12,0.022471511510124793,0.0322416376523454,0.4858204560108348,0.6786195123815658
brw,estimated,3,ex_covid,12,-0.04177154755506423,0.04048684000489125,0.3021979236914638,0.6786195123815658
brw,estimated,3,full,12,-0.015268783681025322,0.0440090455263776,0.7286315226617606,0.7286315226617606
brw,estimated,6,ex_covid,12,-0.04666316168285446,0.042748207626141524,0.2750169978876311,0.6786195123815658
brw,estimated,6,full,12,-0.020793293761012854,0.04587247402524485,0.6503436993656673,0.6786195123815658
brw,estimated,12,ex_covid,12,-0.055283615797865636,0.045129733403655246,0.22057778876797407,0.6786195123815658
brw,estimated,12,full,12,-0.0288661876811646,0.047961028191057825,0.5472622901305442,0.6786195123815658
rr,duration,3,ex_covid,12,0.0012647992545185244,0.001790843508566824,0.4800271170489543,0.6786195123815658
rr,duration,3,full,12,0.0012114463215459573,0.0017692554968479757,0.4935200203270189,0.6786195123815658
rr,duration,6,ex_covid,12,0.001208741550694279,0.001951680266153132,0.5356964838716869,0.6786195123815658
rr,duration,6,full,12,0.0011385766136059355,0.0019285662790690815,0.5549395118916487,0.6786195123815658
rr,duration,12,ex_covid,12,0.00161685590973284,0.002096879009219387,0.4406610850819823,0.6786195123815658
rr,duration,12,full,12,0.0015333594206635881,0.0020718905406403474,0.4592530145374112,0.6786195123815658
rr,estimated,3,ex_covid,12,-0.004585819127294161,0.002866493714083324,0.1096427665694335,0.5908596666317916
rr,estimated,3,full,12,-0.0059093374864874985,0.003018594455484698,0.05027163864400741,0.5908596666317916
rr,estimated,6,ex_covid,12,-0.0044614359040322975,0.0031418503240633333,0.15560689863444943,0.6224275945377977
rr,estimated,6,full,12,-0.005844581975809145,0.003292448148319871,0.07587349174619562,0.5908596666317916
rr,estimated,12,ex_covid,12,-0.005114701019176668,0.00331712297787557,0.12309576388162324,0.5908596666317916
rr,estimated,12,full,12,-0.006482413349160473,0.003463514722544942,0.061257998294187876,0.5908596666317916
brw,duration,3,ex_covid,24,-0.008916029728173352,0.038229500994034826,0.8155876208835973,0.9950768940815724
brw,duration,3,full,24,-0.006819222848960603,0.0380205372683804,0.8576579432878264,0.9950768940815724
brw,duration,6,ex_covid,24,-0.0051510856036292895,0.039243664807168524,0.8955703960595531,0.9950768940815724
brw,duration,6,full,24,-0.002965239952543955,0.039046415056133835,0.9394657087396086,0.9950768940815724
brw,duration,12,ex_covid,24,0.00023464034505709546,0.04088099347006036,0.9954204909208653,0.9954204909208653
brw,duration,12,full,24,0.002364474954160327,0.04064954731365909,0.9536153568281736,0.9950768940815724
brw,estimated,3,ex_covid,24,-0.014029088938617,0.05463417129788272,0.7973468236496082,0.9950768940815724
brw,estimated,3,full,24,-0.006519537976540636,0.054241617740068394,0.9043291643247489,0.9950768940815724
brw,estimated,6,ex_covid,24,-0.019171060951047186,0.056981275568133885,0.7365353771065666,0.9950768940815724
brw,estimated,6,full,24,-0.012279470408155925,0.05655576333517007,0.8281136832901175,0.9950768940815724
brw,estimated,12,ex_covid,24,-0.028279799797081107,0.059754100609635576,0.6360208418042574,0.9950768940815724
brw,estimated,12,full,24,-0.021533885706823772,0.059099744716631514,0.7155853764487177,0.9950768940815724
rr,duration,3,ex_covid,24,0.0013297430369795921,0.0030216527594132308,0.6598853768570869,0.9950768940815724
rr,duration,3,full,24,0.0014243155622546096,0.0030393712025462544,0.6393400018894266,0.9950768940815724
rr,duration,6,ex_covid,24,0.0011812378330821177,0.00329272610559818,0.7197884043572307,0.9950768940815724
rr,duration,6,full,24,0.0012971631434246492,0.003314103361948704,0.6954964437590432,0.9950768940815724
rr,duration,12,ex_covid,24,0.001272366924728918,0.003466789288299746,0.7136071290724677,0.9950768940815724
rr,duration,12,full,24,0.0014149784080353315,0.003490430738738392,0.6851923994026052,0.9950768940815724
rr,estimated,3,ex_covid,24,-0.0036167316328893804,0.004721135316293724,0.44363320284715435,0.9950768940815724
rr,estimated,3,full,24,-0.003594842790040052,0.0046732832100502995,0.4417551143111895,0.9950768940815724
rr,estimated,6,ex_covid,24,-0.0034510761284674307,0.005167796014679521,0.5042585549636744,0.9950768940815724
rr,estimated,6,full,24,-0.0034099967991119665,0.0051142029033033965,0.5049190919314772,0.9950768940815724
rr,estimated,12,ex_covid,24,-0.0036502492292203753,0.005376092657617436,0.4971517322212984,0.9950768940815724
rr,estimated,12,full,24,-0.003556414732009777,0.005316655609934722,0.5035468160254988,0.9950768940815724
